CODIGO;DESCRIPCION
43230000;"SOFTWARE
"
43230002;
43231500;
25173900;
30162300;
30191500;
30191600;
30191800;
32101600;
32151600;
32151700;
32151800;
32151900;
32152000;
39121100;
39121300;
39121500;
39121600;
39121900;
39122100;
39122200;
39122300;
40101500;
40101600;
40101700;
40101800;
40101900;
43191500;
43191600;
43201400;
43201500;
43201800;
43201900;
43202000;
43202100;
43202200;
43211500;
43211600;
43211700;
43211800;
43211900;
43212000;
43212100;
43212200;
43221500;
43221600;
43221700;
43221800;
43222500;
43222600;
43222700;
43222800;
43222900;
43223000;
43223100;
43223200;
43223300;
43231500;
43231600;
43232000;
43232100;
43232200;
43232300;
43232400;
43232500;
43232600;
43232700;
43232800;
43232900;
43233000;
43233200;
43233400;
43233500;
43233600;
43233700;
44101700;
44111500;
44112000;
45111600;
45111700;
45111800;
45111900;
45121500;
45121600;
46171500;
46171600;
46182100;
46182200;
48121300;
52161500;
55111600;
55121800;
56101700;
56111500;
56111600;
56111700;
56111800;
56112000;
56112100;
56112200;
60106200;
70171500;
71151000;
71151100;
71151200;
72101500;
72103300;
72141100;
72151200;
72151500;
72151600;
72151700;
72153300;
72153400;
72154100;
72154300;
78121600;
78141700;
80101500;
80101600;
80101700;
80111500;
80111600;
80111700;
80141500;
80141600;
80141800;
80161500;
80161800;
81101700;
81102700;
81111500;
81111700;
81111800;
81111900;
81112000;
81112100;
81112200;
81112300;
81112400;
81112500;
81131500;
81141500;
81141600;
81141700;
81141800;
81161500;
81161600;
81161700;
81161800;
82121700;
83101800;
83111600;
83112200;
83112300;
83112400;
83112500;
83112600;
83121600;
83121700;
84101500;
84111600;
85151500;
86101600;
86101700;
86132000;
86141700;
90121700;
92121700;
93141500;
93141900;
93142000;
93142100;
93151500;
93151600;
93161700;
93171500;
