Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
832;PRESTACION DE SERVICIOS;CD-AC-025-2024;Proceso en evaluación y observaciones;Contratación régimen especial;AGUAS DE CIMITARRA SAS;8800000;Presentación de oferta;AGUAS DE CIMITARRA S.A.S E.S.P;12 días de tiempo transcurrido (25/04/2024 10:56:38 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6036506;-;Prestación de servicios;Regla aplicable;23/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);MANTENIMIENTO, CAPACITACION Y LICENCIA DE USO DEL SOFWARE TRANSFORS WEB EN LA NUBE: NOMINA, PUNTO  DE CAJA, CONTABILIDAD, PRESUPUESTO, ACTIVO FIJO, ALMACEN Y/O INFORME DE LA EMPRESA AGUAS DE CIMITARRA S.A.S. ESP.;9000000;43231601 - Software de contabilidad;
833;SERVICIO DE SOPORTE TECNICO ESPECIALIZADO AL SOFTWARE FINANCIERO SOUL GT A LA ALCALDIA DEL MUNICIPIO DE DIBULLA;CPS-073-2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;73200000;Presentación de oferta;ALCALDIA DE DIBULLA;13 días de tiempo transcurrido (25/04/2024 6:26:53 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6035097;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado; ;"SERVICIO DE SOPORTE TECNICO
ESPECIALIZADO AL SOFTWARE FINANCIERO
SOUL GT A LA ALCALDIA DEL MUNICIPIO DE
DIBULLA";73200000;43231601 - Software de contabilidad;
834;Servicio Contable año 2024;Contrtato  No.   010;Publicado;Contratación régimen especial;Rectoria;2728320;Presentación de oferta;INSTITUCION EDUCATIVA EMILIO CIFUENTES FACATATIVÁ;14 días de tiempo transcurrido (24/04/2024 3:28:10 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6027542;-;Prestación de servicios;Regla aplicable;30/11/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Servicio contable módulos contabilidad y presupuesto Institución;2825760;43231601 - Software de contabilidad;
835;ACTUALIZACION MODULO ESPARTA PRESUPUESTAL 2024;CVNM-PRESO-016-2024;Proceso en evaluación y observaciones;Contratación régimen especial;COLEGIO VENECIA NUEVO MUZU IED;950000;Presentación de oferta;COLEGIO VENECIA NUEVO MUZU;14 días de tiempo transcurrido (24/04/2024 1:56:33 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6026486;-;Decreto 092 de 2017;Decreto 092 de 2017;9 días para terminar (18/05/2024 12:00:00 AM(UTC-05:00) Bogotá, Lima, Quito); ;0;43231601 - Software de contabilidad;
836;ACTUALIZACION PROGRAMA CONTABLE Y FINANCIERO;RESO-03-2024;Publicado;Contratación régimen especial;RECTORIA;2200000;Presentación de oferta;INSTITUCION EDUCATIVA JUSTINIANO ECHAVARRIA;14 días de tiempo transcurrido (24/04/2024 8:18:08 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6024637;-;Prestación de servicios;Regla aplicable;24/04/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION PROGRAMA CONTABLE Y FINANCIERO IE. JUSTINAO ECHAVARRIA EL AGUILA VALLE;2200000;43231601 - Software de contabilidad;
837;ACTUALIZACION POLIZA SARWEB;CONTRATO No. 18 2024;Publicado;Contratación régimen especial;RECTORIA;2200000;Presentación de oferta;TECNICO INDUSTRIAL GERARDO VALENCIA CANO;15 días de tiempo transcurrido (23/04/2024 3:21:20 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6021256;-;Prestación de servicios;Regla aplicable;18/04/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTALIZACION POLIZA SARWEB: ACCESO A LA PLATAFORMA DESDE CUALQUIER DISPOSITIVO QUE TENGA INTERNET;2200000;43231601 - Software de contabilidad;
838;LICENCIA DE USO INSTITUCIONAL PLATAFORMA ACADEMICA 2024;09-2024;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION;7296000;Presentación de oferta;INSTITUCION EDUCATIVA CIUDADELA CUBA;15 días de tiempo transcurrido (23/04/2024 11:20:53 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6019378;-;Prestación de servicios;Regla aplicable;18/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);LICENCIA DE USO INSTITUCIONAL PLATAFORMA ACADEMICA 2024;0;43231601 - Software de contabilidad;
839;ADQUISICIÓN DE SOFTWARE CONTABLE PARA LA ADMINISTRACIÓN DE LOS MÓDULOS PRESUPUESTO, TESORERÍA, BANCOS, NÓMINA Y CONTABILIDAD DE FORMA VIRTUAL;CS-02-2024;Publicado;Contratación régimen especial;JURIDICA;11155203;Presentación de oferta;SOCIEDAD CHINCHINA ALUMBRADO PUBLICO SAS ESP;19 días de tiempo transcurrido (19/04/2024 9:40:21 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6004491;-;Otro;Regla aplicable;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICIÓN DE SOFTWARE CONTABLE PARA LA ADMINISTRACIÓN DE LOS MÓDULOS PRESUPUESTO, TESORERÍA, BANCOS, NÓMINA Y CONTABILIDAD DE FORMA VIRTUAL;0;43231601 - Software de contabilidad;
840;CONTRATO PRESTACION DE SERVICIOS SOFTWARE;CPS-011-2024;Publicado;Contratación régimen especial;EMVIAS MISTRATO;5700000;Presentación de oferta;EMPRESA VIAL Y DE TRANSPORTES DE MUNICIPIO DE MISTRATO RISARALDA;19 días de tiempo transcurrido (19/04/2024 9:36:21 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6004393;-;Prestación de servicios;Regla aplicable;30/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR LOS SERVICIOS TECNICOS PARA LA ACTUALIZACION      SOPORTE TECNICO CAPACITACION MANTENIMIENTO Y CONSERVACION DE LAS APLICACIONES DE PRESUPUESTO Y CONTABILIDAD PARA USO DE LA EMPRESA VIAL Y DE TRANSPORTES DEL MUNICIPIO DE MISTRATO RISARALDA;0;43231601 - Software de contabilidad;
841;ALQUILER SOFTWARE PRESUPUESTAL PERIODO 2024;2024-07;Publicado;Contratación régimen especial;I.E ALFREDO MOLANO;1485000;Presentación de oferta;INSTITUCION EDUCATIVA ALFREDO MOLANO BRAVO;19 días de tiempo transcurrido (19/04/2024 9:15:43 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6004810;-;Prestación de servicios;Regla aplicable;3/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ALQUILER SOFTWARE PRESUPUESTAL PERIODO 2024;1485000;43231601 - Software de contabilidad;
842;CONTRATO DE PRESTACIÓN DE SERVICIOS;070-2024;Proceso adjudicado y celebrado;Contratación régimen especial;EDUR;140000000;Presentación de oferta;EMPRESA DE DESARROLLO TERRITORIAL URBANO Y RURAL DE RISARALDA - EDUR;20 días de tiempo transcurrido (18/04/2024 4:59:14 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6002223;-;Prestación de servicios;Regla aplicable;18/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE ACCESO Y USO A LA PLATAFORMA PARA LA GESTIÓN ESTATAL SIIFWEB, EN LA MODALIDAD DENOMINADA SOFTWARE COMO SERVICIO (SOFTWARE AS A SERVICE SAAS) PARA LA OPERACIÓN Y GESTION DE LA EMPRESA DE DESARROLLO TERRITORIAL URBANO Y RURAL DE REISARALDA -EDUR;140000000;43231601 - Software de contabilidad;
843;ACTIALIZACION SOFTWARE CONTABLE;RESO-02-2024;Publicado;Contratación régimen especial;RECTORIA;2000000;Presentación de oferta;IE. GILBERTO ALZATE AVENDAÑO;20 días de tiempo transcurrido (18/04/2024 4:56:40 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6002094;-;Prestación de servicios;Regla aplicable;18/04/2025 5:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTIALIZACION SOFTWARE CONTABLE PARA LA I.E. GILBERTO ALZATE AVENDAÑO.;2000000;43231601 - Software de contabilidad;
844;PLATAFORMA CONTABLE;002-2024;Publicado;Contratación régimen especial;Contratación;2200000;Presentación de oferta;INSTITUCION EDUCATIVA TECNICA INDUSTRIAL DE SOLEDAD MARIA AUXILIADORA;20 días de tiempo transcurrido (18/04/2024 9:05:06 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5997897;-;Suministros;Regla aplicable;22 días de tiempo transcurrido (16/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);suministro e soporte y actualizaciones para el software financiero SARIe que posee su la institución es el acceso a la plataforma desde cualquier dispositivo que tenga internet (la información se almacena en nuestro servidores9, soporte remoto, actualizaciones y hosting del sarie en la nube;10500000;43231601 - Software de contabilidad;
845;INSTITUCION EDUCATIVA GABRIEL ESCORCIA GRAVINI;IEGEG-RE-004-2024;Publicado;Contratación régimen especial;FSE IEGEG;2200000;Presentación de oferta;INSTITUCION EDUCATIVA GABRIEL ESCORCIA GRAVINI DE SOLEDAD;20 días de tiempo transcurrido (18/04/2024 3:52:17 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5997902;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar los servicios de licencia y derechos de uso de un hosting financiero versión web.;2300000;43231601 - Software de contabilidad;
846;ADQUISICIÓN DE LICENCIA DE USO SOFTWARE FINANCIERO, REQUERIDO PARA EL FUNCIONAMIENTO ÓPTIMO DE LA SECRETARÍA DE HACIENDA: PREDIAL, IMPUESTO DE INDUSTRIA Y COMERCIO, CONTABILIDAD, PRESUPUESTO, TESORERÍ;MC-CD-039-2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE HACIENDA;36000000;Presentación de oferta;MUNICIPIO DE CERINZA;21 días de tiempo transcurrido (17/04/2024 3:59:01 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5995370;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;21 días de tiempo transcurrido (17/04/2024 12:59:00 PM(UTC-05:00) Bogotá, Lima, Quito);ADQUISICIÓN DE LICENCIA DE USO SOFTWARE FINANCIERO, REQUERIDO PARA EL FUNCIONAMIENTO ÓPTIMO DE LA SECRETARÍA DE HACIENDA: PREDIAL, IMPUESTO DE INDUSTRIA Y COMERCIO, CONTABILIDAD, PRESUPUESTO, TESORERÍA, ASÍ COMO EL SOPORTE TÉCNICO OPORTUNO DEL MISMO.;36000000;43231601 - Software de contabilidad;
