Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
415;PRESTACIÓN DE SERVICIOS DE SOFTWARE Y ELEMENTOS DE TELECOMUNICACIÓN PARA EL FUNCIONAMIENTO DEL CALL CENTER;PN UPRES DENOR SA MC SI  020- 2024;Publicado;Solicitud de información a los Proveedores;UNIDAD PRESTADORA DE SALUD NORTE DE SANTANDER;0;Presentación de oferta;UPRES DENOR - POLICÍA METROPOLITANA DE CUCUTA;1 hora de tiempo transcurrido (8/05/2024 3:33:03 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6097321;7 días para terminar (15/05/2024 6:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;6 días para terminar (15/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE SOFTWARE Y ELEMENTOS DE TELECOMUNICACIÓN PARA EL FUNCIONAMIENTO DEL CALL CENTER,  EL AGENDAMIENTO, CONFIRMACIÓN, CANCELACIÓN Y REASIGNACIÓN DE CITAS MÉDICAS Y ODONTOLÓGICAS DE LA UNIDAD PRESTADORA DE SALUD NORTE DE SANTANDER;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
416;PROCESO 006-2024 PRESTACION DE SERVICIO PROF;PROCESO 006-2024 PRESTACION DE SERVICIO PROF;Publicado;Contratación régimen especial;MARIO JOVEN SARRIA;1400000;Presentación de oferta;INSTITUCION EDUCATIVA INTERNADO ESCOLAR RURAL SOLITA;5 horas de tiempo transcurrido (8/05/2024 11:44:51 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6095621;-;Decreto 092 de 2017;Decreto 092 de 2017;6/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ;1400000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
417;CONTRATAR UN CENTRO DE CONTACTO DE MOVILIDAD - BPO MEDIANTE LA MODALIDAD DE OUTSOURCING, PARA LA GESTIÓN DE LOS CANALES DE ATENCIÓN TELEFÓNICO, VIRTUAL Y PRESENCIAL DISPUESTOS POR SECRETARÍA DISTRITA;SDM-PSA-SIE-044-2024;Publicado;Selección abreviada subasta inversa;DIRECCION DE CONTRATACION;5704312334;Presentación de observaciones;SECRETARÍA DISTRITAL DE MOVILIDAD;11 días de tiempo transcurrido (26/04/2024 6:37:49 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6042673;5 días para terminar (14/05/2024 10:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Bienes y servicios de características técnicas uniformes y común utilización; ;CONTRATAR UN CENTRO DE CONTACTO DE MOVILIDAD - BPO MEDIANTE LA MODALIDAD DE OUTSOURCING, PARA LA GESTIÓN DE LOS CANALES DE ATENCIÓN TELEFÓNICO, VIRTUAL Y  PRESENCIAL DISPUESTOS POR SECRETARÍA DISTRITA;6146873594;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
418;SERVICIO DE TELECOMUNICACIONES DE PBX;CS-012-2024;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION;8929760;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO JAIME ALVARADO Y CASTILLA;12 días de tiempo transcurrido (26/04/2024 2:22:58 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6040194;-;Prestación de servicios;Regla aplicable;23/09/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);SERVICIO DE TELECOMUNICACIONES DE PBX IP PARA 10 EXTENSIONES CON FUNCIONALIDADES DE CALL CENTER POR MEDIO DE SOFTPHONE UNA TRONCAL SIP DE 15 SESIONES - MOVIL + 1 DID + 7.500 MINUTOS TDN COLOMBIA INCLUIDOS EN LA TRONCAL PARA LA ESE JAIME ALVARADO Y CASTILLA.;8929760;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
419;MESA DE AYUDA (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);SAM 77 DE 2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);Proceso en evaluación y observaciones;Selección abreviada menor cuantía;Contratación;83019211;Presentación de oferta;COMISIÓN DE REGULACIÓN DE COMUNICACIONES;12 días de tiempo transcurrido (26/04/2024 10:17:06 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6038489;5 días de tiempo transcurrido (3/05/2024 10:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Menor Cuantía;12/06/2025 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Renovación del licenciamiento ITSM del software por servicios Aranda Service Managament y adquisición del módulo de inventarios (ACM- Aranda Client Managament suite) con bolsa de horas para configuración y parametrización.;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
420;servicio de CALL CENTER para la asignación, cancelación y reasignación de citas médicas, odontológicas;PN METIB UPRES SIP 010 2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;UNIDAD PRESTADORA DE SALUD TOLIMA;0;Presentación de oferta;POLICIA METROPOLITANA DE IBAGUE - UPRES TOLIMA;21 días de tiempo transcurrido (16/04/2024 6:13:29 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5990755;19 días de tiempo transcurrido (19/04/2024 5:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ; ;servicio de CALL CENTER para la asignación, cancelación y reasignación de citas médicas, odontológicas, así como transmitir información general para los usuarios del Subsistema De Salud De La Policía Nacional adscritos a la UPRES Tolima residentes en el departamento y en los municipios de Norcasia, Samaná, Victoria y La Dorada del departamento de Caldas;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
421;PRESTACION DE SERVICIOS PARA EL FUNCIONAMIENTO DEL CALL CENTER EN LA E.S.E. HOSPITAL LOCAL DE CANDELARIA;03-13-10-083-24;Publicado;Contratación régimen especial;HOSPITAL CANDELARIA VALLE;5100000;Presentación de oferta;E.S.E HOSPITAL LOCAL DE CANDELARIA VALLE;6/04/2024 11:29:17 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5942737;-;Prestación de servicios;Regla aplicable;3/07/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DE SERVICIOS PARA EL FUNCIONAMIENTO DEL CALL CENTER EN LA E.S.E. HOSPITAL LOCAL DE CANDELARIA;180000000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
422;Adquirir un software ITSM (gestión servicios tecnologías de la información), para apoyar la gestión y el manejo de todos los eventos, incidentes, problemas y las solicitudes de servicio de TI a través;MC-UAPA-002-2024;Proceso adjudicado y celebrado;Mínima cuantía;PROCESOS DE CONTRATACIÓN;51529764,67;Presentación de oferta;Unidad Administrativa Especial de Alimentación Escolar -Alimentos para Aprender-;4/04/2024 11:21:07 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5930561;19 días de tiempo transcurrido (19/04/2024 1:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Compraventa;Presupuesto inferior al 10% de la menor cuantía;21/06/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Adquirir un software ITSM (gestión servicios tecnologías de la información), para apoyar la gestión y el manejo de todos los eventos, incidentes, problemas y las solicitudes de servicio de TI a través de una misma herramienta certificada ITSM en diferentes procesos;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
423;LICENCIAS ARANDA;MC 017 DE 2024;Proceso adjudicado y celebrado;Mínima cuantía;CONTRATACION Y ADQUISICIONES;113530878;Presentación de oferta;CAJA DE RETIRO DE LAS FUERZAS MILITARES;27/03/2024 7:45:22 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5905364;5/04/2024 11:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Presupuesto inferior al 10% de la menor cuantía;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR LA SUSCRIPCIÓN, RENOVACIÓN Y ADQUISICIÓN DEL LICENCIAMIENTO DE ARANDA SERVICE MANAGEMENT SUITE, ASÍ COMO LOS SERVICIOS ADICIONALES ESTABLECIDOS EN LAS ESPECIFICACIONES TÉCNICAS, LOS SERVICIOS CONEXOS DE SOPORTE Y MANTENIMIENTO DEL SISTEMA DE GESTIÓN DE SERVICIOS ARANDA PARA GARANTIZA LA GESTIÓN INTEGRAL DE LOS SERVICIOS TECNOLÓGICOS EN EL AVANCE DE LA ADOPCIÓN DEL MARCO DE ITIL.;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
424;COMWARE S.A.;2024400032;Publicado;Contratación régimen especial;DEPARTAMENTO JURÍDICO;1745090842;Presentación de oferta;FONDO NACIONAL DE GARANTIAS S.A. - FNG;27/03/2024 3:31:26 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5904132;-;Prestación de servicios;Regla aplicable;30/09/2025 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestar el servicio de centro de experiencia, con el fin de satisfacer las necesidades de información, procedimientos, comunicación, soporte y solución de los temas del Fondo Nacional de Garantías presentados por los grupos de valor (intermediarios financieros, beneficiarios de garantías, ciudadanos, entidades públicas y fondos regionales) a través de los canales de atención dispuestos en el proceso misional de la entidad.;1948077600;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
425;PRESTACIÓN DE UN SERVICIO INTEGRAL DE CONTACT CENTER PARA REALIZAR LA ASIGNACIÓN DE CITAS DE SERVICIOS INTEGRALES EN SALUD A LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL E INFORMACIÓN G;Solicitud Coizacion CALL CENTER UPRES DEANT;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;UNIDAD PRESTADORA DE SALUD ANTIOQUIA;0;Presentación de oferta;UNIDAD PRESTADORA DE SALUD ANTIOQUIA;26/03/2024 3:16:37 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5898995;5/04/2024 4:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ;28/09/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE UN SERVICIO INTEGRAL DE CONTACT CENTER PARA REALIZAR LA ASIGNACIÓN DE CITAS DE SERVICIOS INTEGRALES EN SALUD A LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL E INFORMACIÓN GENERAL DE LA DIRECCIÓN DE SANIDAD UNIDAD PRESTADORA DE SALUD ANTIOQUIA.;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
426;PRESTACION DE SERVICIOS DE CONTAC CENTER (Presentación de oferta);PN UPRES DERIS SA SI 001 2024 (Presentación de oferta);Proceso adjudicado y celebrado;Selección abreviada subasta inversa;GRUPO CONTRATOS;203929891,5;Presentación de oferta;UNIDAD PRESTADORA DE SALUD RISARALDA;25/03/2024 9:22:45 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5896204;4/04/2024 6:58:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios;Bienes y servicios de características técnicas uniformes y común utilización;31/08/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE CENTRO DE CONTACTO PARA LA ASIGNACIÓN, CANCELACIÓN Y REASIGNACIÓN DE CITAS DE LOS SERVICIOS QUE OFRECE LA UNIDAD PRESTADORA DE SALUD RISARALDA A LOS AFILIADOS Y BENEFICIARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL PERTENECIENTES A LA UNIDAD PRESTADORA DE SALUD RISARALDA;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
